Member id,SEC,FEH,MT,SEX,AGE,EDU,HS,CHILD,CS,Affluence Index,No. of Brands,Brand Runs,Total Volume,No. of  Trans,Value,Trans / Brand Runs,Vol/Tran,Avg. Price,Pur Vol No Promo - %,Pur Vol Promo 6 %,Pur Vol Other Promo %,"Br. Cd. 57, 144",Br. Cd. 55,Br. Cd. 272,Br. Cd. 286,Br. Cd. 24,Br. Cd. 481,Br. Cd. 352,Br. Cd. 5,Others 999,Pr Cat 1,Pr Cat 2,Pr Cat 3,Pr Cat 4,PropCat 5,PropCat 6,PropCat 7,PropCat 8,PropCat 9,PropCat 10,PropCat 11,PropCat 12,PropCat 13,PropCat 14,PropCat 15
1017490,4,3,10,2,4,4,6,4,1,30,4,24,16275,42,1555.5,1.75,387.5,9.56,0.8200,0.1700,0.0100,0.0200,0.0000,0.0000,0.0000,0.0000,0.0300,0.0000,0.0000,0.9430,0.2400,0.1500,0.0000,0.6000,0.7900,0.0000,0.1200,0.0000,0.0400,0.0100,0.0300,0.0000,0.0000,0.0000,0.0200
1020070,3,3,10,2,1,4,5,4,1,18,4,21,13875,61,1547.75,2.9,227.46,11.15,0.9900,0.0100,0.0000,0.3400,0.0800,0.0000,0.0000,0.0000,0.0000,0.0600,0.0000,0.5190,0.4100,0.5200,0.0800,0.0000,0.4400,0.0000,0.4200,0.0000,0.0400,0.0000,0.0000,0.0000,0.0000,0.0800,0.0200
1020210,4,3,17,2,3,3,4,3,2,8,3,9,20675,26,1538,2.89,795.19,7.44,1.0000,0.0000,0.0000,0.0300,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.0000,0.9550,0.0600,0.0300,0.0000,0.9100,0.9800,0.0100,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000
1024050,4,3,17,2,3,3,6,4,1,10,4,10,15450,28,1275.5,2.8,551.79,8.26,1.0000,0.0000,0.0000,0.3700,0.3200,0.0000,0.0000,0.0000,0.0000,0.0900,0.0000,0.2200,0.0000,0.4900,0.3200,0.1900,0.5900,0.0000,0.0900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3200,0.0000
1024100,3,1,13,2,4,3,6,4,1,15,2,8,9150,25,917,3.13,366,10.02,1.0000,0.0000,0.0000,0.3900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6070,0.0300,0.6800,0.0800,0.2100,0.6300,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0800,0.2400
1024120,4,3,10,2,4,3,5,1,2,13,4,19,16050,50,1518,2.63,321,9.46,1.0000,0.0000,0.0000,0.1800,0.1900,0.0000,0.0000,0.0000,0.0000,0.2700,0.0000,0.3580,0.0800,0.6500,0.1900,0.0700,0.4200,0.0200,0.2900,0.0000,0.0700,0.0000,0.0000,0.0100,0.0000,0.1900,0.0000
1024220,4,3,10,2,4,3,4,4,0,11,7,28,19150,38,1914,1.36,503.95,9.99,0.8900,0.0500,0.0600,0.0800,0.1100,0.0900,0.0900,0.0000,0.0000,0.0300,0.0200,0.5640,0.0900,0.6200,0.1100,0.1800,0.4900,0.0200,0.0700,0.1200,0.0300,0.0000,0.0000,0.0000,0.0000,0.1100,0.1600
1024400,4,3,10,2,4,1,6,2,0,4,4,13,14625,31,1395,2.38,471.77,9.54,1.0000,0.0000,0.0000,0.6100,0.1900,0.0000,0.0000,0.0000,0.0300,0.0000,0.0000,0.1710,0.0300,0.7000,0.1900,0.0700,0.7100,0.0300,0.0000,0.0000,0.0300,0.0000,0.0300,0.0000,0.0000,0.1900,0.0000
1024630,4,3,17,2,3,4,5,2,1,14,3,12,14400,21,1308.5,1.75,685.71,9.09,0.9200,0.0800,0.0000,0.3500,0.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5830,0.0000,0.5400,0.0600,0.4000,0.8600,0.0300,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0600,0.0000
1025070,3,0,0,0,2,0,0,5,0,0,2,4,675,4,123.5,1,168.75,18.3,0.3300,0.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.1100,0.0000,0.0000,0.0000,0.8890,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2200,0.0000,0.0000,0.3300,0.0000,0.3300,0.1100,0.0000,0.0000
1025140,4,0,0,0,2,0,0,5,0,0,2,4,6400,8,368,2,800,5.75,0.5800,0.0000,0.4200,0.0000,0.9400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0630,0.0000,0.0000,0.9400,0.0600,0.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9400,0.0000
1025210,2,3,17,2,2,5,5,2,1,4,3,3,7550,26,434,8.67,290.38,5.75,0.9600,0.0000,0.0400,0.0100,0.9700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0130,0.0000,0.0100,0.9700,0.0100,0.0300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9700,0.0000
1027040,4,3,10,2,3,4,7,4,1,11,3,4,32000,27,1864,6.75,1185.19,5.83,0.9500,0.0100,0.0500,0.0000,0.9800,0.0000,0.0000,0.0000,0.0100,0.0000,0.0000,0.0090,0.0100,0.0100,0.9800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.0000,0.9800,0.0000
1027160,3,0,0,0,3,0,0,5,0,0,3,3,1600,4,111,1.33,400,6.94,1.0000,0.0000,0.0000,0.1900,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0630,0.0600,0.1900,0.7500,0.0000,0.1900,0.0000,0.0000,0.0000,0.0600,0.0000,0.0000,0.0000,0.0000,0.7500,0.0000
1027210,4,0,0,0,3,0,0,5,0,0,3,5,2825,5,300,1,565,10.62,1.0000,0.0000,0.0000,0.0000,0.5300,0.3200,0.0000,0.0000,0.0000,0.0000,0.0000,0.1500,0.1500,0.3200,0.5300,0.0000,0.0000,0.0000,0.0800,0.3200,0.0700,0.0000,0.0000,0.0000,0.0000,0.5300,0.0000
1027390,3,3,10,2,3,5,4,3,0,18,3,41,16730,67,2156,1.63,249.7,12.89,0.9700,0.0000,0.0300,0.1600,0.0000,0.0000,0.0000,0.0300,0.0000,0.0000,0.0000,0.8180,0.4400,0.3400,0.0000,0.2200,0.4100,0.0400,0.1000,0.2700,0.0400,0.0000,0.0000,0.0400,0.0300,0.0000,0.0800
1027480,4,1,4,2,4,4,7,4,0,9,2,3,10800,25,1141,8.33,432,10.56,1.0000,0.0000,0.0000,0.8900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1110,0.0200,0.9800,0.0000,0.0000,0.9800,0.0000,0.0000,0.0000,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1027540,3,3,10,2,2,3,2,4,1,11,2,16,12425,39,1322.5,2.44,318.59,10.64,0.9900,0.0100,0.0000,0.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3240,0.1500,0.8000,0.0000,0.0400,0.8500,0.0000,0.0100,0.0000,0.1400,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000
1027580,4,3,10,2,2,4,6,3,1,13,3,13,10925,27,943,2.08,404.63,8.63,0.8800,0.0300,0.0800,0.1200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0000,0.8720,0.0000,0.3500,0.0000,0.6500,0.9200,0.0000,0.0100,0.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1027680,4,0,0,0,2,0,0,5,0,0,2,2,6050,8,381.5,4,756.25,6.31,1.0000,0.0000,0.0000,0.1300,0.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1300,0.8700,0.0000,0.1300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8700,0.0000
1027720,4,1,10,2,4,4,4,2,2,4,2,2,15100,24,865,12,629.17,5.73,1.0000,0.0000,0.0000,0.0000,0.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0460,0.0000,0.0000,0.9500,0.0500,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9500,0.0000
1027750,4,3,10,2,2,1,5,3,1,9,3,13,7475,15,734.5,1.15,498.33,9.83,0.9300,0.0000,0.0700,0.0400,0.0000,0.0000,0.0000,0.0000,0.0800,0.0000,0.0000,0.8800,0.2700,0.2700,0.0000,0.4500,0.6400,0.0600,0.1400,0.0000,0.0100,0.0700,0.0800,0.0000,0.0000,0.0000,0.0000
1027810,4,0,0,0,2,0,0,5,0,0,2,2,1050,5,74,2.5,210,7.05,1.0000,0.0000,0.0000,0.2900,0.7100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2900,0.7100,0.0000,0.2900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7100,0.0000
1027840,2,3,5,2,3,1,3,4,2,4,1,1,22050,23,1249.5,23,958.7,5.67,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000
1028020,4,3,16,2,2,4,5,2,0,5,2,3,18600,23,1046,7.67,808.7,5.62,0.9500,0.0000,0.0500,0.0000,0.9400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0650,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000
1028050,3,3,16,2,2,1,5,2,1,8,2,24,12475,40,1268.5,1.67,311.88,10.17,0.8500,0.1300,0.0200,0.0000,0.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9400,0.3100,0.0400,0.0600,0.5900,0.6800,0.1700,0.0100,0.0400,0.0100,0.0000,0.0000,0.0000,0.0000,0.0600,0.0200
1028110,4,3,10,2,2,4,3,2,0,2,2,6,4800,24,360.5,4,200,7.51,0.9600,0.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0800,0.0000,0.9170,0.0400,0.0800,0.0400,0.8300,0.8300,0.0000,0.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0400
1028230,4,2,10,2,4,3,4,2,1,10,2,6,10050,24,899,4,418.75,8.95,1.0000,0.0000,0.0000,0.0000,0.0300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9700,0.0000,0.0000,0.0300,0.9700,0.2700,0.0000,0.0000,0.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0300,0.0000
1030040,4,3,10,2,4,0,6,4,2,11,1,1,15000,23,850,23,652.17,5.67,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000
1030150,4,0,0,0,4,0,0,5,0,0,3,8,3325,8,278.5,1,415.63,8.38,1.0000,0.0000,0.0000,0.3400,0.5400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1200,0.0700,0.3900,0.5400,0.0000,0.3400,0.1200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5400,0.0000
1030200,3,1,4,2,4,1,4,4,2,13,2,11,10325,19,674.25,1.73,543.42,6.53,0.9800,0.0200,0.0000,0.0000,0.0300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9710,0.0400,0.8600,0.0300,0.0700,0.0900,0.0200,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0300,0.8400
1030280,4,3,10,2,1,1,6,1,2,6,3,10,15400,38,990,3.8,405.26,6.43,1.0000,0.0000,0.0000,0.0000,0.8800,0.0000,0.0000,0.0200,0.0000,0.0000,0.0000,0.1040,0.0300,0.0600,0.9000,0.0000,0.0600,0.0000,0.0100,0.0000,0.0100,0.0000,0.0000,0.0000,0.0200,0.9000,0.0000
1030300,2,3,16,2,4,1,9,4,1,14,3,6,23500,28,1585,4.67,839.29,6.74,0.9200,0.0000,0.0800,0.0000,0.8900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0400,0.0680,0.0800,0.0300,0.8900,0.0000,0.0000,0.0600,0.0200,0.0000,0.0000,0.0200,0.0000,0.0000,0.0000,0.8900,0.0000
1034020,4,0,0,0,2,0,0,5,0,0,1,1,900,5,51,5,180,5.67,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000
1034130,4,1,17,2,4,4,8,3,0,8,2,3,34200,24,2468,8,1425,7.22,1.0000,0.0000,0.0000,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9820,0.0000,0.0200,0.0000,0.9800,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1034220,3,3,10,2,4,4,4,4,1,11,5,7,9400,24,1119.5,3.43,391.67,11.91,0.9500,0.0500,0.0000,0.0000,0.0800,0.0500,0.0000,0.0000,0.6700,0.0200,0.0000,0.1810,0.0000,0.8800,0.1200,0.0000,0.0000,0.1100,0.0500,0.0500,0.0000,0.0000,0.6700,0.0000,0.0000,0.1200,0.0000
1034350,4,0,0,0,3,0,0,5,0,0,3,7,3925,9,306,1.29,436.11,7.8,0.9500,0.0500,0.0000,0.0800,0.1100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8090,0.0200,0.0800,0.1100,0.7900,0.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000,0.1100,0.0000
1035020,4,3,10,2,4,1,3,4,1,9,4,15,9800,23,941,1.53,426.09,9.6,1.0000,0.0000,0.0000,0.1400,0.0000,0.0200,0.0000,0.0000,0.0000,0.5400,0.0000,0.2980,0.0600,0.7300,0.0200,0.1800,0.3600,0.0100,0.5400,0.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.0000
1035100,4,0,0,0,3,0,0,5,0,0,1,1,4950,7,280.5,7,707.14,5.67,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000
1035150,3,1,4,2,4,7,9,2,1,37,5,25,19910,43,2865.5,1.72,463.02,14.39,0.9600,0.0100,0.0300,0.1200,0.0000,0.0100,0.0000,0.0200,0.0000,0.0000,0.0700,0.7780,0.6200,0.3800,0.0000,0.0000,0.1300,0.2100,0.2000,0.2100,0.0100,0.0200,0.0000,0.0300,0.0200,0.0000,0.1600
1037050,4,3,10,2,4,1,5,1,2,10,3,4,21150,20,1326,5,1057.5,6.27,0.8900,0.0000,0.1100,0.0000,0.9400,0.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0210,0.0000,0.0400,0.9400,0.0200,0.0200,0.0000,0.0000,0.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.9400,0.0000
1037120,4,1,4,2,2,4,10,3,1,14,3,10,15875,22,1835,2.2,721.59,11.56,1.0000,0.0000,0.0000,0.5800,0.0000,0.0000,0.0000,0.0000,0.2300,0.0000,0.0000,0.1890,0.0600,0.9400,0.0000,0.0000,0.7700,0.0000,0.0000,0.0000,0.0000,0.0000,0.2300,0.0000,0.0000,0.0000,0.0000
1037190,2,1,4,2,2,1,6,1,1,12,3,12,6825,18,468,1.5,379.17,6.86,0.9900,0.0100,0.0000,0.0600,0.5700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3700,0.0400,0.2100,0.5700,0.1800,0.2300,0.0100,0.0200,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.5700,0.1400
1037220,4,3,17,2,1,4,15,1,1,37,5,33,26375,34,2696,1.03,775.74,10.22,0.8000,0.1900,0.0100,0.1400,0.0300,0.0300,0.0000,0.0000,0.0000,0.0100,0.0000,0.8020,0.2000,0.7100,0.0300,0.0600,0.7400,0.0000,0.0400,0.1100,0.0000,0.0400,0.0000,0.0100,0.0000,0.0300,0.0300
1037250,3,3,10,2,4,1,4,4,1,7,2,2,16350,23,949.5,11.5,710.87,5.81,1.0000,0.0000,0.0000,0.0000,0.9800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0180,0.0000,0.0200,0.9800,0.0000,0.0000,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9800,0.0000
1037290,4,3,10,2,1,4,9,3,1,16,3,12,18275,31,2225.5,2.58,589.52,12.18,0.9000,0.1000,0.0000,0.4100,0.0000,0.0000,0.0000,0.0000,0.3400,0.0000,0.0000,0.2530,0.0600,0.8900,0.0000,0.0500,0.6100,0.0000,0.0000,0.0000,0.0000,0.0000,0.3400,0.0500,0.0000,0.0000,0.0000
1037420,4,3,10,2,4,3,5,4,1,17,3,18,30350,41,2121.5,2.28,740.24,6.99,0.9000,0.0300,0.0700,0.0000,0.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2020,0.1200,0.0400,0.8000,0.0400,0.0700,0.0300,0.0000,0.0300,0.0500,0.0100,0.0000,0.0000,0.0000,0.8000,0.0100
1037630,4,3,6,2,4,5,4,4,1,11,5,24,19000,28,1737,1.17,678.57,9.14,1.0000,0.0000,0.0000,0.0400,0.0900,0.0700,0.0000,0.0000,0.0000,0.0200,0.0000,0.7760,0.1300,0.2600,0.1700,0.4300,0.6900,0.0000,0.0200,0.1000,0.0000,0.0200,0.0000,0.0000,0.0000,0.1700,0.0000
1037690,3,1,5,2,3,1,5,4,1,10,2,3,24950,25,1425,8.33,998,5.71,1.0000,0.0000,0.0000,0.0000,0.9600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0440,0.0000,0.0000,0.9900,0.0100,0.0100,0.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9600,0.0000
1037720,4,1,4,2,4,5,4,4,1,15,4,17,8975,25,867.5,1.47,359,9.67,0.9500,0.0000,0.0500,0.2800,0.2700,0.0000,0.0000,0.0000,0.0000,0.0000,0.1300,0.3290,0.1300,0.5400,0.3300,0.0000,0.2800,0.3700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3300,0.0200
1037850,4,3,10,1,4,5,3,4,1,16,6,23,20070,63,1830.85,2.74,318.57,9.12,0.9400,0.0600,0.0000,0.0100,0.0700,0.0100,0.0700,0.0000,0.0000,0.1900,0.0000,0.6430,0.1800,0.4100,0.1200,0.2900,0.4000,0.0400,0.3700,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.1100,0.0600
1037890,4,3,15,1,2,4,8,3,1,7,4,19,19950,48,1526,2.53,415.63,7.65,0.9700,0.0000,0.0300,0.0500,0.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.1080,0.0900,0.1100,0.8000,0.0100,0.0700,0.0900,0.0100,0.0100,0.0100,0.0000,0.0000,0.0200,0.0000,0.8000,0.0000
1037940,4,3,10,2,3,3,5,4,1,13,5,4,20100,29,1210,7.25,693.1,6.02,1.0000,0.0000,0.0000,0.0000,0.9600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0100,0.0370,0.0100,0.0400,0.9600,0.0000,0.0000,0.0100,0.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9600,0.0000
1038000,2,3,10,2,4,1,4,4,1,5,3,6,11800,23,1216,3.83,513.04,10.31,1.0000,0.0000,0.0000,0.8700,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0760,0.0300,0.9200,0.0500,0.0000,0.9200,0.0000,0.0000,0.0000,0.0300,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000
1038080,3,2,10,2,4,4,5,1,1,17,6,28,11625,44,1366.75,1.57,264.2,11.76,1.0000,0.0000,0.0000,0.1100,0.0800,0.0000,0.0300,0.0000,0.1000,0.0100,0.0000,0.6670,0.4200,0.4900,0.0800,0.0100,0.3800,0.0600,0.3800,0.0000,0.0000,0.0000,0.1000,0.0000,0.0000,0.0800,0.0000
1038110,4,2,16,2,4,1,2,4,1,6,3,7,10275,27,741,3.86,380.56,7.21,1.0000,0.0000,0.0000,0.0000,0.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0200,0.1310,0.0700,0.0000,0.9300,0.0000,0.0000,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0500,0.0000,0.9300,0.0000
1040080,4,3,10,2,2,1,10,3,1,10,7,24,23325,50,1876.5,2.08,466.5,8.05,0.8900,0.1100,0.0000,0.1500,0.4600,0.0300,0.0400,0.0000,0.0000,0.0600,0.0100,0.2590,0.0300,0.5100,0.4600,0.0000,0.3100,0.0300,0.0600,0.0400,0.0000,0.0000,0.0000,0.0000,0.0000,0.4600,0.1000
1040150,2,3,10,2,4,0,8,2,1,26,5,45,24325,73,2896,1.62,333.22,11.91,0.9700,0.0100,0.0200,0.0400,0.0500,0.0200,0.0000,0.0000,0.0000,0.0200,0.0000,0.8640,0.4000,0.4600,0.0700,0.0700,0.1800,0.2700,0.1700,0.0900,0.2100,0.0000,0.0000,0.0000,0.0000,0.0700,0.0000
1040190,4,3,10,2,4,1,5,4,2,9,3,7,10475,27,871.5,3.86,387.96,8.32,1.0000,0.0000,0.0000,0.3000,0.0000,0.0000,0.0600,0.0000,0.0000,0.0000,0.0000,0.6470,0.0100,0.3500,0.0000,0.6400,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1040250,4,2,10,2,4,4,6,4,1,15,2,3,14550,22,1439,7.33,661.36,9.89,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9100,0.0000,0.0860,0.0000,0.9300,0.0700,0.0000,0.0000,0.0000,0.9300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0700,0.0000
1040340,4,3,10,2,4,4,2,4,0,4,4,16,9150,27,949,1.69,338.89,10.37,0.9800,0.0200,0.0000,0.5600,0.1500,0.0300,0.0000,0.0000,0.0000,0.0000,0.0000,0.2620,0.1100,0.6700,0.1500,0.0700,0.6700,0.0000,0.0000,0.1400,0.0300,0.0000,0.0000,0.0000,0.0000,0.1500,0.0100
1040370,3,1,4,2,4,2,5,2,1,13,4,26,12050,39,1030.25,1.5,308.97,8.55,0.8600,0.0600,0.0800,0.0000,0.0100,0.0200,0.0000,0.0000,0.0700,0.0000,0.0000,0.8940,0.0400,0.2200,0.2300,0.5100,0.4900,0.2200,0.0400,0.1400,0.0200,0.0000,0.0700,0.0000,0.0000,0.0100,0.0000
